Ambas;15;25;ResultC;W;FTS;CS;BTS;TG;GF;GA;1.5;2.5;3.5;W1;FTS1;CS1;BTS1;TG1;GF1;GA1;1.51;2.51;3.51
1;1;0;0;0,29;0,14;0,14;0,86;3,29;2,00;1,29;0,86;0,71;0,43;0,14;0,43;0,29;0,43;2,86;0,71;2,14;0,57;0,57;0,57
1;1;1;0;0,60;0,00;0,00;1,00;3,40;1,80;1,60;1,00;0,80;0,40;0,40;0,20;0,40;0,40;2,80;1,40;1,40;0,40;0,40;0,40
0;1;0;1;0,67;0,00;0,56;0,44;2,78;2,11;0,67;0,78;0,44;0,22;0,33;0,44;0,33;0,44;1,44;0,78;0,67;0,44;0,22;0,00
1;1;1;0;0,50;0,50;0,50;0,00;1,50;0,50;1,00;0,50;0,00;0,00;0,00;0,00;0,00;1,00;3,00;1,33;1,67;1,00;0,67;0,33
1;1;1;1;0,30;0,30;0,30;0,60;2,70;1,20;1,50;0,60;0,50;0,40;0,38;0,38;0,38;0,25;2,63;0,88;1,75;0,75;0,25;0,25
1;1;1;0;0,25;0,12;0,12;0,75;3,38;1,38;2,00;0,88;0,62;0,38;0,12;0,50;0,00;0,50;5,13;1,00;4,13;0,88;0,88;0,62
1;1;1;1;0,83;0,00;0,33;0,67;4,17;3,50;0,67;1,00;0,83;0,83;0,43;0,00;0,29;0,71;5,14;2,57;2,57;1,00;1,00;0,86
0;1;0;1;0,50;0,25;0,25;0,50;2,13;1,25;0,88;0,62;0,38;0,12;0,62;0,12;0,75;0,25;1,25;0,88;0,38;0,25;0,12;0,00
1;1;0;0;0,40;0,20;0,47;0,47;1,67;0,87;0,80;0,47;0,20;0,07;0,20;0,40;0,20;0,47;2,33;0,93;1,40;0,73;0,33;0,20
1;1;1;1;0,50;0,17;0,33;0,50;3,67;1,83;1,83;1,00;0,83;0,33;0,33;0,50;0,17;0,33;6,33;1,83;4,50;1,00;1,00;1,00
1;1;1;1;0,56;0,11;0,44;0,44;3,44;2,44;1,00;0,78;0,78;0,56;0,33;0,00;0,22;0,78;2,56;1,44;1,11;0,89;0,33;0,33
1;1;0;0;0,50;0,29;0,36;0,43;1,79;0,93;0,86;0,50;0,36;0,00;0,14;0,36;0,14;0,57;2,43;0,86;1,57;0,71;0,50;0,14
